Epoch,AvgLoss,AvgBCELoss,Precision,Recall,F1_Score,IoU,Dice
1,4.579515280042376,1.3237224221229553,0.16266596584004492,0.04391964176134569,0.06916484676166938,0.035821207546210494,0.06916484676166938
2,3.9957207236971173,1.0794620505401067,0.39164207926380323,0.191583255486101,0.25730042938852005,0.14764474251763215,0.25730042938852005
3,3.740768497330802,1.0219302424362728,0.3821666085938874,0.255934285872721,0.30656449129925706,0.18103109904342501,0.30656449129925706
4,3.5540922130857195,0.9887010182653154,0.39307195377187343,0.2961396816496499,0.337789431497969,0.20321699181733738,0.337789431497969
5,3.4582120486668178,0.9539100851331438,0.4584431830580408,0.3244572355838271,0.3799850001493175,0.23455647026993015,0.3799850001493175
6,3.3921384607042584,0.9282496294804982,0.4537646162589413,0.33797258311812856,0.3874012730620865,0.2402341429338123,0.3874012730620865
7,3.2773000614983694,0.9009439204420362,0.45560701487230887,0.3826520563610177,0.4159548452649444,0.2625902702467571,0.4159548452649444
8,3.180910110473633,0.8804813163621085,0.47131031490753034,0.37041428448868063,0.41481518585494975,0.2616825383093738,0.41481518585494975
9,3.1793492317199705,0.8758181337799344,0.48390717486187723,0.4047491635432578,0.4408026270525229,0.2827112427846373,0.4408026270525229
10,2.9871553335871015,0.8146512695721218,0.506402624603499,0.4747250527506949,0.4900524533693369,0.3245493225661069,0.4900524533693369
11,2.9700553553445,0.7984854676893779,0.52866301155275,0.48665918740945086,0.5067922515210908,0.3393983536700411,0.5067922515210908
12,3.0387082304273334,0.8050342283078602,0.5635085692856205,0.4725642381913464,0.5140449509667883,0.34593573426143326,0.5140449509667883
13,2.8894794600350515,0.7838280843836921,0.5360419788611933,0.5037796348530272,0.5194103081046545,0.35081313273209563,0.5194103081046545
14,2.758582745279585,0.7168477011578424,0.6045061031132437,0.5394182807772826,0.5701104853656707,0.3987094663824197,0.5701104853656707
15,2.849918212209429,0.748906496167183,0.5802353328265889,0.529472878528309,0.5536930676946735,0.3828323403056086,0.5536930676946735
16,2.7613212960106988,0.720445967572076,0.5847927175713374,0.5401719188633742,0.5615973945438336,0.39043129678267785,0.5615973945438336
17,2.6548838325909205,0.6742383126701628,0.6326898829168042,0.5648507193251877,0.5968487996252777,0.42536313938646425,0.5968487996252777
18,2.6948284813335963,0.695376250573567,0.5997874453573914,0.549570493532525,0.5735819472879652,0.40211349414529585,0.5735819472879652
19,2.656914874485561,0.6867890172771045,0.6107727889367425,0.589385085226893,0.5998883647080488,0.4284575240908987,0.5998883647080488
20,2.6779479673930577,0.6973871550389699,0.6104791623524913,0.561647540328432,0.585046171498035,0.4134736835317325,0.585046171498035
21,2.544356994969504,0.6329696829829897,0.6340703517587702,0.6191852001572983,0.6265393790872481,0.45617571377537763,0.6265393790872481
22,2.5633397425924027,0.6301615940673011,0.6580341803977371,0.6044730934762639,0.6301174890147091,0.45997922008763775,0.6301174890147091
23,2.458697557449341,0.5801728274141039,0.6702372073468668,0.6286120395606468,0.6487576274196425,0.480119363175951,0.6487576274196425
24,2.463400990622384,0.5975280276366642,0.6530654138088319,0.6216939616544298,0.6369936666404394,0.4673446124570579,0.6369936666404394
25,2.6042669517653327,0.6639404484203884,0.6393111310377324,0.589511702374396,0.6134023277520936,0.4423794587493183,0.6134023277520936
26,2.5753423588616506,0.6429175049066543,0.6269620251736192,0.5990444747557432,0.6126853929136167,0.44163406756047136,0.6126853929136167
27,2.42871447460992,0.5913837607417788,0.66910877700696,0.6398780348346321,0.654167032774717,0.48606851571144044,0.654167032774717
28,2.3646496857915604,0.5678804755210877,0.6898670619554615,0.6419480627468422,0.6650454943198868,0.49817839596044433,0.6650454943198868
29,2.3034467697143555,0.529933275282383,0.7100591876523507,0.6610941037171312,0.6847023526863435,0.5205683702732753,0.6847023526863435
30,2.318291105542864,0.5435826273901122,0.7037874302527662,0.6397284982272567,0.6702307970940079,0.5040203936362254,0.6702307970940079
31,2.3980680056980677,0.5700186282396317,0.68150600493347,0.6413482697045952,0.6608176054417891,0.49344854601362137,0.6608176054417891
32,2.293312808445522,0.5444648491484778,0.6882845196219971,0.6592808794926625,0.6734705769912299,0.5076936593413031,0.6734705769912299
33,2.2237414036478316,0.5003746454204832,0.7150034078957704,0.6793632255261861,0.6967278329921145,0.5345988739955181,0.6967278329921145
34,2.1550156031336103,0.4637859923498971,0.7316071372212389,0.7099092386618329,0.72059488809641,0.5632265194128055,0.72059488809641
35,2.198617330619267,0.49021838179656435,0.7278858826859208,0.6869204062194196,0.7068100702363447,0.5465632340374951,0.7068100702363447
36,2.1644604802131653,0.47355510400874273,0.7336175787591814,0.7163483397036926,0.7248801200495916,0.5684799770181477,0.7248801200495916
37,2.100338164397648,0.4425530948809215,0.7361642608554921,0.7278507683825173,0.7319839102994866,0.5772670522440849,0.7319839102994866
38,2.1080971802983965,0.4436565235257149,0.7596367959730324,0.7254805987677683,0.7421659183848415,0.5900348298973118,0.7421659183848415
39,2.1156105399131775,0.45691251030990054,0.7406682398760208,0.7310762546352815,0.7358409897305976,0.5820794565817982,0.7358409897305976
40,2.190374255180359,0.4839783361979893,0.7253044061596768,0.7058891542148211,0.7154650887031336,0.5569837630810672,0.7154650887031336
41,2.074085101059505,0.438773222054754,0.7449962126703653,0.7301300600296313,0.7374882266631506,0.5841436430441762,0.7374882266631506
42,2.0385771564074924,0.42331815489700864,0.7520490826997394,0.7444217007737459,0.748215953684344,0.5977196752798927,0.748215953684344
43,2.004782007421766,0.42897696048021317,0.7555790121731566,0.745617499696568,0.7505652050551155,0.6007237897422446,0.7505652050551155
44,1.9797870227268763,0.40495008187634607,0.7591397988561234,0.7592770364662222,0.759208411459279,0.6118742409852843,0.759208411459279
45,1.9860177772385734,0.4020115096654211,0.778326659037811,0.7533290917732264,0.7656238875418053,0.6202517043343506,0.7656238875418053
46,1.954460551057543,0.3816362159592765,0.7823117759475315,0.7740529959162692,0.7781604735085424,0.6368761663350747,0.7781604735085424
47,2.052435266971588,0.43391785706792557,0.763933594305375,0.7261349132264993,0.7445548327580978,0.5930604156880991,0.7445548327580978
48,1.9565778834479195,0.3937341787985393,0.7899517689685547,0.7616924195953649,0.7755647573122996,0.6334061045236608,0.7755647573122996
49,1.9318354402269635,0.3778798211898122,0.7820813698884169,0.7712056572110318,0.776605439090808,0.634795563022331,0.776605439090808
50,1.8768862383706229,0.34535382219723293,0.7984754165094139,0.7838227136705064,0.7910812201951379,0.6543708588287712,0.7910812201951379
